as_of,position,symbol,cap_bucket,roce,ey,rank_roce,rank_ey,combined_rank
2026-09-07,108,NAVINFLUOR,small,0.17784979031643156,0.021115316025803993,42,168,210
2026-09-07,109,RAINBOW,small,0.15636077195746356,0.025780633145626234,66,147,213
2026-09-07,110,PDSL,small,0.09247027741083223,0.04931609474421233,141,73,214
2026-09-07,111,SYMPHONY,small,0.14763231197771587,0.027585358023799272,76,139,215
2026-09-07,112,GALAPREC,small,0.1268882175226586,0.030711798147715273,92,124,216
2026-09-07,113,SUMEETINDS,small,0.10187667560321716,0.04080001668350494,124,96,220
2026-09-07,114,STARPAPER,small,0.015427769985974754,0.8847080404549754,220,2,222
2026-09-07,115,SAMHI,small,0.07556987115956393,0.057355659203056304,169,54,223
2026-09-07,116,AARTISURF,small,0.0830945558739255,0.05112933459967607,159,65,224
2026-09-07,117,TEAMLEASE,small,0.08714408973252805,0.049089666242173785,151,76,227
2026-09-07,118,THOMASCOOK,small,0.08684381075826313,0.048769661169963514,152,77,229
2026-09-07,119,CPPLUS,small,0.2390998593530239,0.011421668748918512,16,213,229
2026-09-07,120,BOROSCI,small,0.09555555555555556,0.04098549645935101,135,95,230
2026-09-07,121,METROPOLIS,small,0.15587392550143267,0.022531819843792777,68,162,230
2026-09-07,122,METROBRAND,small,0.15773224810552905,0.021311457294671533,65,167,232
2026-09-07,123,VIJAYA,small,0.17753623188405798,0.015686116007847233,43,194,237
2026-09-07,124,SUPRAJIT,small,0.10127624536846438,0.033995147830269246,127,112,239
2026-09-07,125,MEDPLUS,small,0.09558823529411764,0.034773565331243865,134,107,241
2026-09-07,126,JSWCEMENT,small,0.08352246935996369,0.04461135479192566,157,85,242
2026-09-07,127,VERANDA,small,0.08053691275167785,0.046594707599361296,165,80,245
2026-09-07,128,FAZE3Q,small,0.08516483516483517,0.04209867408881704,154,91,245
2026-09-07,129,VIMTALABS,small,0.15634218289085547,0.018390858114363508,67,178,245
2026-09-07,130,TRIVENI,small,0.07359622024350354,0.04916108725052783,172,74,246
2026-09-07,131,VMART,small,0.11367207962283918,0.0288774311740522,113,136,249
2026-09-07,132,HAPPYFORGE,small,0.15541090317331163,0.018059186094103948,69,182,251
2026-09-07,133,ALKYLAMINE,small,0.13885267275097785,0.021069988652940776,83,169,252
2026-09-07,134,SAILIFE,small,0.16847041847041846,0.01382156104912822,51,201,252
2026-09-07,135,NGIL,small,0.08257756563245823,0.04100169255366674,160,94,254
2026-09-07,136,RISHABH,small,0.11016949152542373,0.028302520905262196,118,137,255
2026-09-07,137,AFFLE,small,0.13253340605399508,0.02136640412433816,89,166,255
2026-09-07,138,ADSL,small,0.04806408544726302,0.05129834597135587,192,64,256
2026-09-07,139,VTL,small,0.06257579432452098,0.045231781138869755,178,83,261
2026-09-07,140,PCJEWELLER,small,0.06958569746279841,0.04406264605838586,173,88,261
2026-09-07,141,AARTIPHARM,small,0.09204584925321292,0.031613502000409285,143,118,261
2026-09-07,142,PROTEAN,small,0.0592274678111588,0.04472920053442614,180,84,264
2026-09-07,143,RATNAVEER,small,0.08656716417910448,0.03434620161499125,153,111,264
2026-09-07,144,GLAND,small,0.11332456305205789,0.024437672743530807,114,155,269
