rebalance_date,symbol,weight
2023-06-01,CHEMFAB,0.008928571428571428
2023-06-01,CHENNPETRO,0.008928571428571428
2023-06-01,CIPLA,0.008928571428571428
2023-06-01,COALINDIA,0.008928571428571428
2023-06-01,COFORGE,0.008928571428571428
2023-06-01,COLPAL,0.008928571428571428
2023-06-01,CONCOR,0.008928571428571428
2023-06-01,COROMANDEL,0.008928571428571428
2023-06-01,CYBERMEDIA,0.008928571428571428
2023-06-01,DIXON,0.008928571428571428
2023-06-01,DMART,0.008928571428571428
2023-06-01,DRREDDY,0.008928571428571428
2023-06-01,ECLERX,0.008928571428571428
2023-06-01,EICHERMOT,0.008928571428571428
2023-06-01,EIDPARRY,0.008928571428571428
2023-06-01,FACT,0.008928571428571428
2023-06-01,FCL,0.008928571428571428
2023-06-01,FLUOROCHEM,0.008928571428571428
2023-06-01,FOCUS,0.008928571428571428
2023-06-01,GAIL,0.008928571428571428
2023-06-01,GHCL,0.008928571428571428
2023-06-01,GLAXO,0.008928571428571428
2023-06-01,GLOBAL,0.008928571428571428
2023-06-01,GODFRYPHLP,0.008928571428571428
2023-06-01,GRASIM,0.008928571428571428
2023-06-01,HAL,0.008928571428571428
2023-06-01,HCLTECH,0.008928571428571428
2023-06-01,HEROMOTOCO,0.008928571428571428
2023-06-01,HINDALCO,0.008928571428571428
2023-06-01,HINDUNILVR,0.008928571428571428
2023-06-01,HINDZINC,0.008928571428571428
2023-06-01,INDHOTEL,0.008928571428571428
2023-06-01,INDUSTOWER,0.008928571428571428
2023-06-01,INFY,0.008928571428571428
2023-06-01,IOC,0.008928571428571428
2023-06-01,IRCTC,0.008928571428571428
2023-06-01,ITC,0.008928571428571428
2023-06-01,JINDALSTEL,0.008928571428571428
2023-06-01,JKPAPER,0.008928571428571428
2023-06-01,JSL,0.008928571428571428
2023-06-01,KALYANKJIL,0.008928571428571428
2023-06-01,KAMDHENU,0.008928571428571428
2023-06-01,KPRMILL,0.008928571428571428
2023-06-01,KUANTUM,0.008928571428571428
2023-06-01,LAURUSLABS,0.008928571428571428
2023-06-01,LODHA,0.008928571428571428
2023-06-01,LT,0.008928571428571428
2023-06-01,LTTS,0.008928571428571428
2023-06-01,M&M,0.008928571428571428
2023-06-01,MAANALU,0.008928571428571428
2023-06-01,MARICO,0.008928571428571428
2023-06-01,MAZDOCK,0.008928571428571428
2023-06-01,MOTHERSON,0.008928571428571428
2023-06-01,MPHASIS,0.008928571428571428
2023-06-01,NATIONALUM,0.008928571428571428
2023-06-01,NH,0.008928571428571428
2023-06-01,NMDC,0.008928571428571428
2023-06-01,OBEROIRLTY,0.008928571428571428
2023-06-01,OIL,0.008928571428571428
2023-06-01,PAGEIND,0.008928571428571428
2023-06-01,PANAMAPET,0.008928571428571428
2023-06-01,PERSISTENT,0.008928571428571428
2023-06-01,PETRONET,0.008928571428571428
2023-06-01,PGHH,0.008928571428571428
2023-06-01,PHOENIXLTD,0.008928571428571428
2023-06-01,PIDILITIND,0.008928571428571428
2023-06-01,POLYCAB,0.008928571428571428
2023-06-01,PRESTIGE,0.008928571428571428
2023-06-01,PVP,0.008928571428571428
2023-06-01,RITES,0.008928571428571428
2023-06-01,ROLEXRINGS,0.008928571428571428
2023-06-01,RUCHIRA,0.008928571428571428
2023-06-01,SBGLP,0.008928571428571428
2023-06-01,SESHAPAPER,0.008928571428571428
2023-06-01,SHREYANIND,0.008928571428571428
2023-06-01,SMLT,0.008928571428571428
2023-06-01,SOLARINDS,0.008928571428571428
2023-06-01,SOTL,0.008928571428571428
2023-06-01,STEELCAS,0.008928571428571428
2023-06-01,SUNPHARMA,0.008928571428571428
2023-06-01,SURYAROSNI,0.008928571428571428
2023-06-01,TATACOMM,0.008928571428571428
2023-06-01,TATASTEEL,0.008928571428571428
2023-06-01,TCS,0.008928571428571428
2023-06-01,TIINDIA,0.008928571428571428
2023-06-01,TITAN,0.008928571428571428
2023-06-01,ULTRACEMCO,0.008928571428571428
2023-06-01,UPL,0.008928571428571428
2023-06-01,VBL,0.008928571428571428
2023-06-01,VEDL,0.008928571428571428
2023-06-01,WIPRO,0.008928571428571428
2023-06-01,WSTCSTPAPR,0.008928571428571428
2023-06-01,ZYDUSLIFE,0.008928571428571428
2024-06-01,3MINDIA,0.009523809523809525
2024-06-01,ABBOTINDIA,0.009523809523809525
2024-06-01,ADANIPORTS,0.009523809523809525
2024-06-01,APARINDS,0.009523809523809525
2024-06-01,ASHOKA,0.009523809523809525
2024-06-01,ASHOKLEY,0.009523809523809525
2024-06-01,ASIANPAINT,0.009523809523809525
2024-06-01,BAJAJ-AUTO,0.009523809523809525
2024-06-01,BANCOINDIA,0.009523809523809525
2024-06-01,BBTC,0.009523809523809525
2024-06-01,BERGEPAINT,0.009523809523809525
2024-06-01,BHARTIARTL,0.009523809523809525
2024-06-01,BPCL,0.009523809523809525
2024-06-01,BRITANNIA,0.009523809523809525
2024-06-01,CHENNPETRO,0.009523809523809525
2024-06-01,CIPLA,0.009523809523809525
2024-06-01,COALINDIA,0.009523809523809525
2024-06-01,COFORGE,0.009523809523809525
2024-06-01,COLPAL,0.009523809523809525
2024-06-01,COROMANDEL,0.009523809523809525
2024-06-01,CYBERMEDIA,0.009523809523809525
2024-06-01,DRREDDY,0.009523809523809525
2024-06-01,ECLERX,0.009523809523809525
2024-06-01,EICHERMOT,0.009523809523809525
2024-06-01,ELECTHERM,0.009523809523809525
2024-06-01,FCL,0.009523809523809525
2024-06-01,GAIL,0.009523809523809525
2024-06-01,GARFIBRES,0.009523809523809525
2024-06-01,GHCL,0.009523809523809525
2024-06-01,GLAXO,0.009523809523809525
2024-06-01,GLOBAL,0.009523809523809525
2024-06-01,GODFRYPHLP,0.009523809523809525
2024-06-01,GPTINFRA,0.009523809523809525
2024-06-01,GRASIM,0.009523809523809525
2024-06-01,HAL,0.009523809523809525
2024-06-01,HCLTECH,0.009523809523809525
2024-06-01,HEROMOTOCO,0.009523809523809525
2024-06-01,HINDPETRO,0.009523809523809525
2024-06-01,HINDZINC,0.009523809523809525
2024-06-01,INDHOTEL,0.009523809523809525
2024-06-01,INDIGO,0.009523809523809525
2024-06-01,INDSWFTLAB,0.009523809523809525
2024-06-01,INDUSTOWER,0.009523809523809525
2024-06-01,INFY,0.009523809523809525
2024-06-01,IOC,0.009523809523809525
2024-06-01,IRCTC,0.009523809523809525
2024-06-01,ITC,0.009523809523809525
2024-06-01,JAIBALAJI,0.009523809523809525
2024-06-01,JINDALSTEL,0.009523809523809525
2024-06-01,JKCEMENT,0.009523809523809525
2024-06-01,JSL,0.009523809523809525
2024-06-01,JSWSTEEL,0.009523809523809525
2024-06-01,KAMDHENU,0.009523809523809525
2024-06-01,KOTHARIPET,0.009523809523809525
2024-06-01,KPRMILL,0.009523809523809525
2024-06-01,KSOLVES,0.009523809523809525
2024-06-01,KUANTUM,0.009523809523809525
2024-06-01,LLOYDSME,0.009523809523809525
2024-06-01,LT,0.009523809523809525
2024-06-01,LTTS,0.009523809523809525
2024-06-01,M&M,0.009523809523809525
2024-06-01,MAZDOCK,0.009523809523809525
2024-06-01,MODTHREAD,0.009523809523809525
2024-06-01,MOTHERSON,0.009523809523809525
2024-06-01,MPHASIS,0.009523809523809525
2024-06-01,MRF,0.009523809523809525
2024-06-01,MRPL,0.009523809523809525
2024-06-01,NATIONALUM,0.009523809523809525
2024-06-01,NESTLEIND,0.009523809523809525
2024-06-01,NH,0.009523809523809525
2024-06-01,NMDC,0.009523809523809525
2024-06-01,OBEROIRLTY,0.009523809523809525
2024-06-01,OIL,0.009523809523809525
2024-06-01,PAGEIND,0.009523809523809525
2024-06-01,PDMJEPAPER,0.009523809523809525
2024-06-01,PERSISTENT,0.009523809523809525
2024-06-01,PETRONET,0.009523809523809525
2024-06-01,PHOENIXLTD,0.009523809523809525
2024-06-01,PIDILITIND,0.009523809523809525
2024-06-01,PIIND,0.009523809523809525
2024-06-01,PREMIERPOL,0.009523809523809525
2024-06-01,RADIANTCMS,0.009523809523809525
2024-06-01,ROLEXRINGS,0.009523809523809525
2024-06-01,SATIA,0.009523809523809525
2024-06-01,SHAKTIPUMP,0.009523809523809525
2024-06-01,SHREYANIND,0.009523809523809525
2024-06-01,SOLARINDS,0.009523809523809525
2024-06-01,STEELCAS,0.009523809523809525
2024-06-01,SURAJEST,0.009523809523809525
2024-06-01,TATACOMM,0.009523809523809525
2024-06-01,TCS,0.009523809523809525
2024-06-01,TIINDIA,0.009523809523809525
2024-06-01,TITAN,0.009523809523809525
2024-06-01,TORNTPHARM,0.009523809523809525
2024-06-01,TRENT,0.009523809523809525
2024-06-01,UGARSUGAR,0.009523809523809525
2024-06-01,ULTRACEMCO,0.009523809523809525
2024-06-01,UNIVASTU,0.009523809523809525
2024-06-01,VBL,0.009523809523809525
2024-06-01,VEDL,0.009523809523809525
2024-06-01,VSTIND,0.009523809523809525
2024-06-01,WANBURY,0.009523809523809525
2024-06-01,WIPRO,0.009523809523809525
2024-06-01,WSTCSTPAPR,0.009523809523809525
2024-06-01,ZYDUSLIFE,0.009523809523809525
2025-06-01,3MINDIA,0.00909090909090909
2025-06-01,ABBOTINDIA,0.00909090909090909
2025-06-01,ADANIPORTS,0.00909090909090909
2025-06-01,AGIIL,0.00909090909090909
2025-06-01,APARINDS,0.00909090909090909
2025-06-01,ARIES,0.00909090909090909
2025-06-01,ARROWGREEN,0.00909090909090909
2025-06-01,ASHOKA,0.00909090909090909
2025-06-01,ASIANPAINT,0.00909090909090909
2025-06-01,BAJAJ-AUTO,0.00909090909090909
2025-06-01,BBTC,0.00909090909090909
2025-06-01,BERGEPAINT,0.00909090909090909
2025-06-01,BHARTIARTL,0.00909090909090909
2025-06-01,BLUESTARCO,0.00909090909090909
2025-06-01,BPCL,0.00909090909090909
2025-06-01,BRITANNIA,0.00909090909090909
2025-06-01,CHAMBLFERT,0.00909090909090909
2025-06-01,CIPLA,0.00909090909090909
2025-06-01,COALINDIA,0.00909090909090909
2025-06-01,COFORGE,0.00909090909090909
2025-06-01,COLPAL,0.00909090909090909
2025-06-01,COROMANDEL,0.00909090909090909
2025-06-01,DDEVPLSTIK,0.00909090909090909
2025-06-01,DGCONTENT,0.00909090909090909
2025-06-01,DIXON,0.00909090909090909
2025-06-01,DRREDDY,0.00909090909090909
2025-06-01,ECLERX,0.00909090909090909
2025-06-01,EICHERMOT,0.00909090909090909
2025-06-01,ELECTHERM,0.00909090909090909
2025-06-01,GAIL,0.00909090909090909
2025-06-01,GHCL,0.00909090909090909
2025-06-01,GLENMARK,0.00909090909090909
2025-06-01,GLOBAL,0.00909090909090909
2025-06-01,GODFRYPHLP,0.00909090909090909
2025-06-01,GOKULAGRO,0.00909090909090909
2025-06-01,GRASIM,0.00909090909090909
2025-06-01,HCLTECH,0.00909090909090909
2025-06-01,HEROMOTOCO,0.00909090909090909
2025-06-01,HINDALCO,0.00909090909090909
2025-06-01,HINDPETRO,0.00909090909090909
2025-06-01,HINDZINC,0.00909090909090909
2025-06-01,HYUNDAI,0.00909090909090909
2025-06-01,IMFA,0.00909090909090909
2025-06-01,INDHOTEL,0.00909090909090909
2025-06-01,INDIGO,0.00909090909090909
2025-06-01,INDUSTOWER,0.00909090909090909
2025-06-01,INFY,0.00909090909090909
2025-06-01,IOC,0.00909090909090909
2025-06-01,IPCALAB,0.00909090909090909
2025-06-01,IRCTC,0.00909090909090909
2025-06-01,ITC,0.00909090909090909
2025-06-01,JAIBALAJI,0.00909090909090909
2025-06-01,JKCEMENT,0.00909090909090909
2025-06-01,JKIL,0.00909090909090909
2025-06-01,JSL,0.00909090909090909
2025-06-01,KNRCON,0.00909090909090909
2025-06-01,KPRMILL,0.00909090909090909
2025-06-01,LIKHITHA,0.00909090909090909
2025-06-01,LLOYDSME,0.00909090909090909
2025-06-01,LODHA,0.00909090909090909
2025-06-01,LT,0.00909090909090909
2025-06-01,LTTS,0.00909090909090909
2025-06-01,LUPIN,0.00909090909090909
2025-06-01,M&M,0.00909090909090909
2025-06-01,MARUTI,0.00909090909090909
2025-06-01,MOTHERSON,0.00909090909090909
2025-06-01,MPHASIS,0.00909090909090909
2025-06-01,NATCOPHARM,0.00909090909090909
2025-06-01,NATIONALUM,0.00909090909090909
2025-06-01,NCC,0.00909090909090909
2025-06-01,NESTLEIND,0.00909090909090909
2025-06-01,NMDC,0.00909090909090909
2025-06-01,OBEROIRLTY,0.00909090909090909
2025-06-01,OIL,0.00909090909090909
2025-06-01,PAGEIND,0.00909090909090909
2025-06-01,PANAMAPET,0.00909090909090909
2025-06-01,PATANJALI,0.00909090909090909
2025-06-01,PDMJEPAPER,0.00909090909090909
2025-06-01,PETRONET,0.00909090909090909
2025-06-01,PHOENIXLTD,0.00909090909090909
2025-06-01,PIDILITIND,0.00909090909090909
2025-06-01,PIIND,0.00909090909090909
2025-06-01,POKARNA,0.00909090909090909
